neuron,Basic functional unit of the nervous system
synapse,Junction between two nerve cells
axon,Long projection that conducts electrical impulses away from the cell body
dendrite,Branching extension that receives signals from other neurons
cortex,Outer layer of the cerebrum responsible for higher functions
hippocampus,Brain structure essential for memory formation
amygdala,Almond-shaped structure involved in emotion processing
cerebellum,Brain region coordinating voluntary movement and balance
thalamus,Relay station for sensory information in the brain
dopamine,Neurotransmitter associated with reward and motivation
serotonin,Neurotransmitter regulating mood, sleep, and appetite
glia,Non-neuronal cells that support and protect neurons
myelin,Fatty sheath that insulates axons for faster signal transmission
receptor,Protein on a cell surface that binds specific molecules
ganglion,Cluster of nerve cell bodies outside the central nervous system
reflex,Involuntary and nearly instantaneous response to a stimulus
brainstem,Structure connecting the brain to the spinal cord
plasticity,Ability of the brain to reorganize and form new connections
cognition,Mental processes including thinking, learning, and memory
inhibition,Suppression of neuronal activity by neurotransmitters
excitation,Increase in neuronal activity caused by stimulation
sulcus,Groove or furrow on the surface of the brain
gyrus,Ridge on the cerebral surface between two sulci
lesion,Abnormal damage or change in brain tissue
afferent,Carrying signals toward the central nervous system
efferent,Carrying signals away from the central nervous system
temporal,Brain lobe involved in auditory processing and language
parietal,Brain lobe processing sensory information like touch
occipital,Brain lobe primarily responsible for visual processing
frontal,Brain lobe involved in decision making and planning
